# t_us_pico,raw,volt
4528036,33240,1.6738
4532034,32535,1.6383
4536038,32872,1.6553
4540032,34616,1.7431
4544033,35176,1.7713
4548034,34392,1.7318
4552031,33224,1.6730
4556035,33704,1.6972
4560034,35592,1.7922
4564031,36312,1.8285
4568037,35336,1.7793
4572036,34296,1.7270
4576033,34392,1.7318
4580030,36168,1.8212
4584036,36744,1.8502
4588036,35544,1.7898
4592030,34168,1.7205
4596034,33832,1.7036
4600036,34760,1.7503
4604036,34776,1.7511
4608032,32968,1.6601
4612035,31735,1.5980
4616035,31831,1.6028
4620032,33352,1.6794
4624036,33640,1.6939
4628037,32439,1.6335
4632034,31735,1.5980
4636033,31719,1.5972
4640029,33160,1.6698
4644031,33656,1.6947
4648033,32391,1.6310
4652033,31399,1.5811
4656032,31863,1.6045
4660037,33288,1.6762
4664031,33400,1.6818
4668038,32167,1.6198
4672034,31111,1.5666
4676034,31239,1.5730
4680035,32087,1.6157
4684028,31959,1.6093
4688034,30359,1.5287
4692034,29335,1.4772
4696032,30663,1.5440
4700030,33176,1.6706
4704036,35432,1.7842
4708034,37097,1.8680
4712032,39033,1.9655
4716034,41610,2.0953
4720035,45547,2.2935
